player_id,match_id,first_half_start_time,first_half_end_time,first_half_start_reason,first_half_end_reason,second_half_start_time,second_half_end_time,second_half_start_reason,second_half_end_reason
3109,15946,,,,,,,,
3501,15946,45:00,45:00,Tactical Shift,Substitution - On (Tactical),76:14,,Tactical Shift,Final Whistle
5203,15946,00:00,45:00,Starting XI,Tactical Shift,45:00,84:13,Tactical Shift,Substitution - Off (Tactical)
5211,15946,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5213,15946,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5246,15946,00:00,45:00,Starting XI,Tactical Shift,45:00,,Tactical Shift,Final Whistle
5470,15946,00:00,45:00,Starting XI,Tactical Shift,84:15,,Tactical Shift,Final Whistle
5477,15946,00:00,45:00,Starting XI,Tactical Shift,45:00,76:12,Tactical Shift,Substitution - Off (Tactical)
5492,15946,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5503,15946,00:00,45:00,Starting XI,Tactical Shift,45:00,,Tactical Shift,Final Whistle
6374,15946,00:00,45:00,Starting XI,Substitution - Off (Tactical),00:00,45:00,Starting XI,Substitution - Off (Tactical)
6379,15946,00:00,45:00,Starting XI,Tactical Shift,45:00,,Tactical Shift,Final Whistle
6826,15946,,,,,,,,
6998,15946,,,,,,,,
8206,15946,84:13,84:15,Substitution - On (Tactical),Tactical Shift,84:15,,Tactical Shift,Final Whistle
8652,15946,,,,,,,,
11392,15946,76:12,76:14,Substitution - On (Tactical),Tactical Shift,76:14,,Tactical Shift,Final Whistle
20055,15946,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6566,15946,67:52,67:53,Substitution - On (Tactical),Tactical Shift,67:53,,Tactical Shift,Final Whistle
6581,15946,00:00,67:52,Starting XI,Substitution - Off (Tactical),00:00,67:52,Starting XI,Substitution - Off (Tactical)
6612,15946,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6613,15946,00:00,67:53,Starting XI,Tactical Shift,67:53,70:30,Tactical Shift,Substitution - Off (Injury)
6615,15946,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6617,15946,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6618,15946,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6624,15946,70:30,,Substitution - On (Injury),Final Whistle,70:30,,Substitution - On (Injury),Final Whistle
6626,15946,00:00,67:53,Starting XI,Tactical Shift,67:53,,Tactical Shift,Final Whistle
6629,15946,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6632,15946,00:00,67:53,Starting XI,Tactical Shift,67:53,,Tactical Shift,Final Whistle
6839,15946,00:00,67:48,Starting XI,Substitution - Off (Tactical),00:00,67:48,Starting XI,Substitution - Off (Tactical)
6855,15946,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6923,15946,,,,,,,,
6935,15946,67:48,67:53,Substitution - On (Tactical),Tactical Shift,67:53,,Tactical Shift,Final Whistle
9748,15946,,,,,,,,
12190,15946,,,,,,,,
50547,15946,,,,,,,,
3109,15956,83:02,,Substitution - On (Tactical),Final Whistle,83:02,,Substitution - On (Tactical),Final Whistle
3501,15956,00:00,57:19,Starting XI,Tactical Shift,57:19,83:02,Tactical Shift,Substitution - Off (Tactical)
5203,15956,00:00,57:19,Starting XI,Tactical Shift,57:19,,Tactical Shift,Final Whistle
5211,15956,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5213,15956,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5246,15956,00:00,57:19,Starting XI,Tactical Shift,57:19,90:25,Tactical Shift,Substitution - Off (Tactical)
5470,15956,00:00,57:19,Starting XI,Tactical Shift,57:19,,Tactical Shift,Final Whistle
5477,15956,00:00,57:19,Starting XI,Tactical Shift,57:19,75:06,Tactical Shift,Substitution - Off (Tactical)
5492,15956,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5503,15956,00:00,57:19,Starting XI,Tactical Shift,57:19,,Tactical Shift,Final Whistle
6374,15956,,,,,,,,
6379,15956,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6616,15956,90:25,,Substitution - On (Tactical),Final Whistle,90:25,,Substitution - On (Tactical),Final Whistle
6826,15956,,,,,,,,
8206,15956,75:06,,Substitution - On (Tactical),Final Whistle,75:06,,Substitution - On (Tactical),Final Whistle
11392,15956,,,,,,,,
20055,15956,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
35404,15956,,,,,,,,
6742,15956,63:46,66:55,Substitution - On (Tactical),Tactical Shift,66:55,,Tactical Shift,Final Whistle
6760,15956,00:00,69:51,Starting XI,Substitution - Off (Tactical),00:00,69:51,Starting XI,Substitution - Off (Tactical)
7699,15956,86:07,,Substitution - On (Tactical),Final Whistle,86:07,,Substitution - On (Tactical),Final Whistle
8419,15956,69:51,,Substitution - On (Tactical),Final Whistle,69:51,,Substitution - On (Tactical),Final Whistle
11291,15956,00:00,66:55,Starting XI,Tactical Shift,66:55,86:07,Tactical Shift,Substitution - Off (Tactical)
11293,15956,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
11294,15956,00:00,63:46,Starting XI,Substitution - Off (Tactical),00:00,63:46,Starting XI,Substitution - Off (Tactical)
11296,15956,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
11297,15956,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
11298,15956,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
11300,15956,00:00,66:55,Starting XI,Tactical Shift,66:55,,Tactical Shift,Final Whistle
11301,15956,,,,,,,,
11302,15956,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
11303,15956,00:00,66:55,Starting XI,Tactical Shift,66:55,,Tactical Shift,Final Whistle
11304,15956,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
18164,15956,,,,,,,,
30519,15956,,,,,,,,
41126,15956,,,,,,,,
3109,15973,,,,,,,,
3501,15973,00:00,70:49,Starting XI,Tactical Shift,70:49,,Tactical Shift,Final Whistle
5203,15973,00:00,70:49,Starting XI,Tactical Shift,70:49,75:19,Tactical Shift,Substitution - Off (Tactical)
5211,15973,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5213,15973,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
5246,15973,00:00,70:49,Starting XI,Tactical Shift,70:49,,Tactical Shift,Final Whistle
5470,15973,00:00,70:46,Starting XI,Substitution - Off (Tactical),00:00,70:46,Starting XI,Substitution - Off (Tactical)
5477,15973,00:00,70:49,Starting XI,Tactical Shift,70:49,,Tactical Shift,Final Whistle
5492,15973,00:00,64:16,Starting XI,Substitution - Off (Tactical),00:00,64:16,Starting XI,Substitution - Off (Tactical)
5503,15973,00:00,70:49,Starting XI,Tactical Shift,70:49,,Tactical Shift,Final Whistle
6374,15973,,,,,,,,
6379,15973,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6616,15973,,,,,,,,
6826,15973,64:16,,Substitution - On (Tactical),Final Whistle,64:16,,Substitution - On (Tactical),Final Whistle
8206,15973,70:46,70:49,Substitution - On (Tactical),Tactical Shift,70:49,,Tactical Shift,Final Whistle
8652,15973,,,,,,,,
11392,15973,75:19,,Substitution - On (Tactical),Final Whistle,75:19,,Substitution - On (Tactical),Final Whistle
20055,15973,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6734,15973,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
6788,15973,00:00,,Starting XI,Final Whistle,00:00,,Starting XI,Final Whistle
