player_id,player_name,player_nickname,jersey_number,country_id,country_name,position_id,position_name,team_name
3109,Malcom Filipe Silva de Oliveira,Malcom,14,31,Brazil,,,Barcelona
3501,Philippe Coutinho Correia,Philippe Coutinho,7,31,Brazil,21,Left Wing,Barcelona
5203,Sergio Busquets i Burgos,Sergio Busquets,5,214,Spain,10,Center Defensive Midfield,Barcelona
5211,Jordi Alba Ramos,Jordi Alba,18,214,Spain,6,Left Back,Barcelona
5213,Gerard Piqué Bernabéu,Gerard Piqué,3,214,Spain,3,Right Center Back,Barcelona
5246,Luis Alberto Suárez Díaz,Luis Suárez,9,242,Uruguay,23,Center Forward,Barcelona
5470,Ivan Rakitić,,4,56,Croatia,10,Center Defensive Midfield,Barcelona
5477,Ousmane Dembélé,,11,78,France,21,Left Wing,Barcelona
5492,Samuel Yves Umtiti,Samuel Umtiti,23,78,France,5,Left Center Back,Barcelona
5503,Lionel Andrés Messi Cuccittini,Lionel Messi,10,11,Argentina,17,Right Wing,Barcelona
6374,Nélson Cabral Semedo,Nélson Semedo,2,183,Portugal,2,Right Back,Barcelona
6379,Sergi Roberto Carnicer,Sergi Roberto,20,214,Spain,2,Right Back,Barcelona
6826,Clément Lenglet,,15,78,France,,,Barcelona
6998,Rafael Alcântara do Nascimento,Rafinha,12,31,Brazil,,,Barcelona
8206,Arturo Erasmo Vidal Pardo,Arturo Vidal,22,45,Chile,13,Right Center Midfield,Barcelona
8652,Jasper Cillessen,,13,160,Netherlands,,,Barcelona
11392,Arthur Henrique Ramos de Oliveira Melo,Arthur,8,31,Brazil,15,Left Center Midfield,Barcelona
20055,Marc-André ter Stegen,Marc-André ter Stegen,1,85,Germany,1,Goalkeeper,Barcelona
6566,Borja González Tomás,Borja Bastón,18,214,Spain,22,Right Center Forward,Deportivo Alavés
6581,Jonathan Rodríguez Menéndez,Jony,23,214,Spain,16,Left Midfield,Deportivo Alavés
6612,Rubén Duarte Sánchez,Rubén Duarte,3,214,Spain,6,Left Back,Deportivo Alavés
6613,Rubén Sobrino Pozuelo,Rubén Sobrino,7,214,Spain,24,Left Center Forward,Deportivo Alavés
6615,Víctor Laguardia Cisneros,Víctor Laguardia,5,214,Spain,3,Right Center Back,Deportivo Alavés
6617,Ibai Gómez Pérez,Ibai Gómez,11,214,Spain,12,Right Midfield,Deportivo Alavés
6618,Martín Aguirregabiria Padilla,Martín Aguirregabiria,21,214,Spain,2,Right Back,Deportivo Alavés
6624,Jorge Franco Alviz,Burgui,14,214,Spain,24,Left Center Forward,Deportivo Alavés
6626,Mubarak Wakaso,,22,86,Ghana,9,Right Defensive Midfield,Deportivo Alavés
6629,Fernando Pacheco Flores,Fernando Pacheco,1,214,Spain,1,Goalkeeper,Deportivo Alavés
6632,Manuel Alejandro García Sánchez,Manu García,19,214,Spain,11,Left Defensive Midfield,Deportivo Alavés
6839,Daniel Alejandro Torres Rojas,Dani Torres,16,49,Colombia,10,Center Defensive Midfield,Deportivo Alavés
6855,Guillermo Alfonso Maripán Loaysa,Guillermo Maripán,6,45,Chile,5,Left Center Back,Deportivo Alavés
6923,Joaquín Navarro Jiménez,Ximo Navarro,15,214,Spain,,,Deportivo Alavés
6935,Adrián Marín Gómez,Adrián Marín,17,214,Spain,16,Left Midfield,Deportivo Alavés
9748,Antonio Sivera Salvá,Antonio Sivera,13,214,Spain,,,Deportivo Alavés
12190,Patrick Twumasi,,24,86,Ghana,,,Deportivo Alavés
50547,Antonio Perera Calderón,Antonio Perera,27,214,Spain,,,Deportivo Alavés
6616,Munir El Haddadi Mohamed,Munir El Haddadi,19,154,Morocco,24,Left Center Forward,Barcelona
35404,Jokin Ezkieta Mendiburu,Jokin Ezkieta,31,214,Spain,,,Barcelona
6742,Sergio Gontán Gallardo,Keko,24,214,Spain,12,Right Midfield,Real Valladolid
6760,Enes Ünal,,9,233,Turkey,22,Right Center Forward,Real Valladolid
7699,Daniele Verde,,11,112,Italy,16,Left Midfield,Real Valladolid
8419,Duje Čop,,20,56,Croatia,22,Right Center Forward,Real Valladolid
11291,Laureano Antonio Villa Suárez,Toni Suárez,19,214,Spain,16,Left Midfield,Real Valladolid
11293,Fernando Calero Villa,Fernando Calero,5,214,Spain,5,Left Center Back,Real Valladolid
11294,Borja Fernández Fernández,Borja Fernández,8,214,Spain,10,Center Defensive Midfield,Real Valladolid
11296,Óscar Plano Pedreño,Óscar Plano,10,214,Spain,24,Left Center Forward,Real Valladolid
11297,Javier Moyano Lujano,Javi Moyano,17,214,Spain,2,Right Back,Real Valladolid
11298,José Ignacio Martínez García,Nacho Martínez,22,214,Spain,6,Left Back,Real Valladolid
11300,Rubén Alcaraz Jiménez,Rubén Alcaraz,14,214,Spain,11,Left Defensive Midfield,Real Valladolid
11301,Miguel Alfonso Herrero Javaloyas,Míchel,21,214,Spain,,,Real Valladolid
11302,Jordi Masip López,Jordi Masip,1,214,Spain,1,Goalkeeper,Real Valladolid
11303,Anuar Mohamed Tuhami,Anuar Tuhami,23,154,Morocco,9,Right Defensive Midfield,Real Valladolid
11304,Francisco José Olivas Alba,Kiko Olivas,4,214,Spain,3,Right Center Back,Real Valladolid
18164,Antonio Jesús Regal Angulo,Antoñito,18,214,Spain,,,Real Valladolid
30519,Mohamed Salisu,,28,86,Ghana,,,Real Valladolid
41126,Samuel Pérez Fariña,Samuel Pérez,26,214,Spain,,,Real Valladolid
6734,Luis Carlos Correia Pinto,Luisinho,16,183,Portugal,6,Left Back,Huesca
6788,Xabier Etxeita Gorritxategi,Xabier Etxeita,3,214,Spain,5,Left Center Back,Huesca
6857,Rúben Afonso Borges Semedo,Rúben Semedo,4,183,Portugal,3,Right Center Back,Huesca
9747,Axel Werner,,1,11,Argentina,1,Goalkeeper,Huesca
11669,Gonzalo Julián Melero Manzanares,Gonzalo Melero,8,214,Spain,11,Left Defensive Midfield,Huesca
